시군구명,어린이집코드,어린이집유형,운영현황
서대문구,11410000379,국공립,정상
중구,11140000123,직장,정상
광진구,11215000364,국공립,정상
영등포구,11560000498,국공립,정상
구로구,11530000648,국공립,정상
구로구,11530000649,국공립,정상
마포구,11440000481,국공립,정상
중랑구,11260000491,국공립,정상
영등포구,11560000497,직장,정상
강남구,11680000513,직장,정상
양천구,11470000634,가정,정상
송파구,11710000020,국공립,정상
관악구,11620000569,국공립,정상
구로구,11530000647,국공립,정상
용산구,11170000213,국공립,정상
동작구,11590000462,국공립,정상
영등포구,11560000496,국공립,정상
은평구,11380000687,국공립,정상
양천구,11470000633,직장,정상
강서구,11500000749,직장,정상
양천구,11470000631,국공립,정상
마포구,11440000480,민간,정상
은평구,11380000686,국공립,정상
마포구,11440000479,국공립,정상
중랑구,11260000488,국공립,정상
도봉구,11320000556,협동,정상
양천구,11470000632,국공립,정상
동작구,11590000461,민간,정상
중랑구,11260000490,국공립,정상
강서구,11500000748,가정,정상
은평구,11380000685,국공립,정상
은평구,11380000684,국공립,정상
성북구,11290000652,국공립,정상
은평구,11380000683,국공립,정상
서대문구,11410000376,국공립,정상
강서구,11500000747,직장,정상
성북구,11290000651,직장,정상
마포구,11440000477,직장,정상
서대문구,11410000377,가정,정상
중랑구,11260000476,국공립,정상
중랑구,11260000475,국공립,정상
종로구,11110000184,국공립,정상
서대문구,11410000378,가정,정상
종로구,11110000183,직장,정상
동대문구,11230000504,국공립,정상
관악구,11620000565,국공립,정상
노원구,11350001057,국공립,정상
강동구,11740000542,국공립,정상
마포구,11440000478,국공립,정상
서초구,11650000460,국공립,정상
강동구,11740000543,국공립,정상
금천구,11545000348,직장,정상
은평구,11380000682,국공립,정상
중랑구,11260000477,직장,정상
영등포구,11560000487,직장,정상
서초구,11650000463,직장,정상
강서구,11500000746,직장,정상
광진구,11215000362,국공립,정상
송파구,11710000820,국공립,정상
송파구,11710000819,국공립,정상
용산구,11170000153,가정,정상
송파구,11710000818,국공립,정상
동작구,11590000447,국공립,정상
금천구,11545000344,국공립,정상
동작구,11590000445,국공립,정상
동작구,11590000446,국공립,정상
성북구,11290000647,국공립,정상
성북구,11290000648,국공립,정상
송파구,11710000763,국공립,정상
종로구,11110000181,직장,정상
은평구,11380000681,국공립,정상
은평구,11380000680,국공립,정상
동대문구,11230000495,국공립,정상
은평구,11380000678,국공립,정상
중구,11140000118,직장,정상
강남구,11680000505,국공립,정상
서초구,11650000462,국공립,정상
은평구,11380000679,국공립,정상
송파구,11710000816,가정,정상
송파구,11710000815,국공립,정상
송파구,11710000817,가정,정상
강남구,11680000504,국공립,정상
중랑구,11260000474,국공립,정상
서초구,11650000458,국공립,정상
성동구,11200000397,직장,정상
서초구,11650000459,가정,정상
서초구,11650000457,국공립,정상
서초구,11650000456,국공립,정상
광진구,11215000361,국공립,정상
관악구,11620000567,국공립,정상
영등포구,11560000494,국공립,정상
송파구,11710000814,사회복지법인,정상
구로구,11530000645,직장,정상
마포구,11440000472,국공립,정상
중랑구,11260000473,국공립,정상
송파구,11710000813,직장,정상
구로구,11530000644,국공립,정상
강남구,11680000501,직장,정상
강남구,11680000502,직장,정상
금천구,11545000342,가정,정상
서초구,11650000455,가정,정상
서초구,11650000454,국공립,정상
동작구,11590000444,국공립,정상
강남구,11680000503,국공립,정상
송파구,11710000812,국공립,정상
금천구,11545000341,가정,정상
은평구,11380000677,국공립,정상
금천구,11545000340,국공립,정상
마포구,11440000471,법인?단체등,정상
영등포구,11560000493,국공립,정상
송파구,11710000811,국공립,정상
광진구,11215000359,국공립,정상
광진구,11215000360,국공립,정상
은평구,11380000676,국공립,정상
강서구,11500000745,법인?단체등,정상
구로구,11530000643,국공립,정상
강서구,11500000744,가정,정상
마포구,11440000470,국공립,정상
마포구,11440000469,국공립,정상
종로구,11110000180,직장,정상
송파구,11710000809,가정,정상
양천구,11470000623,국공립,정상
서대문구,11410000374,국공립,정상
양천구,11470000624,국공립,정상
강남구,11680000499,직장,정상
강남구,11680000498,직장,정상
영등포구,11560000486,국공립,정상
용산구,11170000210,국공립,정상
서대문구,11410000373,국공립,정상
