시설ID,자치구명,사용료무료여부,사용료
GJ230301,광진구,Y,0
GA220901,관악구,Y,0
YC220901,양천구,N,1000
GB220901,강북구,Y,
JR220901,중랑구,Y,0
DJ220902,동작구,N,2000
DJ220901,동작구,N,1000
YF220902,영등포구,Y,0
YF220901,영등포구,Y,0
NW220902,노원구,Y,
NW220901,노원구,Y,
JN220901,종로구,Y,
JG220901,중구,Y,
DM220902,동대문구,Y,0
DM220901,동대문구,Y,0
SD220801,성동구,Y,
GJ220101,광진구,Y,0
GD211101,강동구,Y,0
GD210807,강동구,Y,0
GD210806,강동구,Y,0
GD210805,강동구,Y,0
GD210804,강동구,Y,0
GD210803,강동구,Y,0
NW210803,노원구,Y,0
NW210802,노원구,Y,0
DJ210805,동작구,N,2000
DJ210804,동작구,N,2000
DJ210803,동작구,N,1000
DJ210802,동작구,N,2000
DJ210801,동작구,N,2000
NW210801,노원구,Y,0
SP210802,송파구,Y,
SP210801,송파구,Y,0
SC210802,서초구,Y,
SC210801,서초구,Y,0
GA210801,관악구,Y,
KC210801,금천구,Y,
GS210801,강서구,Y,
YC210801,양천구,Y,
DB210801,도봉구,Y,
YS210801,용산구,Y,0
GJ210801,광진구,Y,0
DM210704,동대문구,Y,0
GN210703,강남구,Y,0
DM210703,동대문구,Y,0
DM210702,동대문구,Y,0
DM210701,동대문구,Y,0
JN201101,종로구,Y,0
JR200401,중랑구,Y,
NW200406,노원구,Y,0
NW200405,노원구,Y,0
NW200404,노원구,Y,0
NW200403,노원구,Y,0
MP200118,마포구,Y,0
SM191106,서대문구,Y,0
SP191106,송파구,Y,0
GD191103,강동구,Y,0
DJ191105,동작구,Y,0
DJ191104,동작구,N,2000
DJ191103,동작구,N,2000
GN191104,강남구,Y,0
GN191103,강남구,Y,0
GA191104,관악구,N,
YF191106,영등포구,Y,0
YF191104,영등포구,Y,0
YC191105,양천구,N,1000
YF191105,영등포구,Y,0
YF191103,영등포구,Y,0
YC191103,양천구,N,1000
YC191102,양천구,N,1000
YC191104,양천구,N,1000
SM191105,서대문구,Y,0
EP191102,은평구,N,
SB191104,성북구,N,
NW191102,노원구,Y,0
JR191113,중랑구,Y,0
JR191111,중랑구,Y,0
JR191107,중랑구,Y,0
JR191110,중랑구,Y,0
JR191108,중랑구,Y,0
JR191109,중랑구,Y,0
JR191112,중랑구,Y,0
DM191104,동대문구,Y,0
DM191103,동대문구,Y,0
JR191106,중랑구,Y,0
JR191105,중랑구,Y,0
JG191101,중구,N,1000
