시설ID,자치구명,일사용료무료여부,일사용료
JG230201,중구,,
SM230201,서대문구,N,2500
DM230201,동대문구,N,2500
MP230102,마포구,N,2500
MP230101,마포구,N,2500
YC230101,양천구,N,2500
KC230101,금천구,N,2500
GS221201,강서구,N,2500
DJ221101,동작구,N,2500
GB221101,강북구,N,2500
DM221001,동대문구,N,2500
GR221001,구로구,N,2500
EP220902,은평구,N,2500
SP220901,송파구,N,2500
EP220901,은평구,N,2500
EP220801,은평구,N,2500
BP220801,성북구,N,2500
SB220701,성북구,N,2500
SD220601,성동구,N,2500
GR220601,구로구,N,2500
DJ220601,동작구,N,2500
SP220601,송파구,N,2500
GA220501,관악구,N,2500
JR220502,중랑구,N,2500
JR220501,중랑구,N,2500
GS220501,강서구,N,2500
DM220501,동대문구,N,2500
YC220403,양천구,N,2500
GN220401,강남구,N,2500
GB220401,강북구,N,2500
YF220302,영등포구,Y,
GB220301,강북구,N,2500
GD220301,강동구,N,2500
GN220302,강남구,N,2500
GN220301,강남구,N,2500
DJ220201,동작구,N,2500
SM220201,서대문구,N,2500
GB220201,강북구,N,2500
SM220102,서대문구,N,2500
SM220101,서대문구,N,2500
MP220101,마포구,N,2500
DB220102,도봉구,N,2000
DB220101,도봉구,N,2000
DM211201,동대문구,N,2500
JR211201,중랑구,N,2500
NW211202,노원구,N,2500
NW211201,노원구,N,2500
NW211101,노원구,N,2500
GJ211101,광진구,,
DJ211101,동작구,N,2500
BP211001,종로구,N,2500
YF211001,영등포구,Y,
KC211001,금천구,N,2500
SC211002,서초구,Y,
SP211001,송파구,N,2500
GD211001,강동구,N,2500
SC211001,서초구,,
SB210903,성북구,N,2500
SC210901,서초구,Y,
SB210902,성북구,N,2500
MP210901,마포구,N,2500
GR210801,구로구,N,2500
SB210805,성북구,N,2500
YF210801,영등포구,Y,
SB210803,성북구,N,2500
SB210801,성북구,N,2500
GD210701,강동구,N,2500
JG210701,중구,Y,
YF210702,영등포구,Y,
YF210701,영등포구,Y,
GJ210601,광진구,N,2500
MP210603,마포구,N,2500
EP210601,은평구,N,2500
MP210601,마포구,N,2500
JN210401,종로구,N,2500
GR210401,구로구,N,2500
GD210402,강동구,N,2500
GR210311,구로구,N,2500
GR210310,구로구,N,2500
DJ210301,동작구,N,2500
GJ210301,광진구,N,2500
GS210302,강서구,N,2500
GS210301,강서구,N,2500
GA210202,관악구,N,2500
GA210201,관악구,N,2500
SB210203,성북구,N,2500
SB210202,성북구,N,2500
EP210206,은평구,N,2500
EP210205,은평구,N,2500
EP210204,은평구,N,2500
SB210201,성북구,N,2500
SM210201,서대문구,N,2500
EP210203,은평구,N,2500
DJ210206,동작구,N,2500
DJ210205,동작구,N,2500
DJ210204,동작구,N,2500
DJ210203,동작구,N,2500
DJ210202,동작구,N,2500
DJ210201,동작구,N,2500
SD210101,성동구,N,2500
YC210101,양천구,N,2500
YS210101,용산구,N,2500
KC210101,금천구,N,2500
